
146,"Ice Cream & Frozen Yogurt ","Food & Drink",6
147,"Juice Bars & Smoothies ","Food & Drink",6
148,"Liquor Stores","Food & Drink",6
149,"Seafood Markets ","Food & Drink",6
150,"Snack Bars","Food & Drink",6
151,"Specialty Food ","Food & Drink",6
152,"Takeout","Food & Drink",6
153,"Wine Shops","Food & Drink",6
154,"Wineries ","Food & Drink",6
156,"Acupuncture ","Health & Fitness",7
157,"Addiction Treatment Centers","Health & Fitness",7
158,"Adult Day Care Centers","Health & Fitness",7
159,"Allergists ","Health & Fitness",7
160,"Alternative Medicine Practitioners","Health & Fitness",7
161,"Ambulance Services","Health & Fitness",7
162,"Anesthesiologists","Health & Fitness",7
163,"Aromatherapy","Health & Fitness",7
164,"Assisted Living Facilities","Health & Fitness",7
165,"Bootcamps","Health & Fitness",7
166,"Cannabis Clinics/Evaluations ","Health & Fitness",7
167,"Cardiologists ","Health & Fitness",7
168,"Child Psychologists","Health & Fitness",7
169,"Chiropractors ","Health & Fitness",7
170,"Cosmetic Dentistry / Teeth Whitening","Health & Fitness",7
171,"Cosmetic Surgeons ","Health & Fitness",7
172,"Counseling & Mental Health ","Health & Fitness",7
173,"Dentists ","Health & Fitness",7
174,"Dermatologists ","Health & Fitness",7
175,"Detoxification","Health & Fitness",7
176,"Doctors","Health & Fitness",7
177,"Ear, Nose & Throat ","Health & Fitness",7
178,"Endodontists ","Health & Fitness",7
179,"Exercise Equipment","Health & Fitness",7
180,"Family Practice ","Health & Fitness",7
181,"Fertility ","Health & Fitness",7
182,"Gerontologists ","Health & Fitness",7
183,"Golf","Health & Fitness",7
184,"Gyms & Fitness Centers","Health & Fitness",7
185,"Health Clubs","Health & Fitness",7
186,"Holistic Medicine","Health & Fitness",7
187,"Home Health Care ","Health & Fitness",7
188,"Hospitals ","Health & Fitness",7
189,"Infectious Disease Physicians","Health & Fitness",7
190,"Internal Medicine ","Health & Fitness",7
191,"Laser Eye Surgery/Lasik ","Health & Fitness",7
192,"Martial Arts","Health & Fitness",7
193,"Medical Groups","Health & Fitness",7
194,"Midwives ","Health & Fitness",7
195,"Naturopathic","Health & Fitness",7
196,"Neonatal Physicians","Health & Fitness",7
197,"Nutritionists ","Health & Fitness",7
198,"Obstetricians and Gynecologists ","Health & Fitness",7
199,"Occupational Medical Physicians","Health & Fitness",7
200,"Ophthalmologists ","Health & Fitness",7
201,"Optometrists ","Health & Fitness",7
202,"Oral Surgeons ","Health & Fitness",7
203,"Orthodontists ","Health & Fitness",7
204,"Orthopedists ","Health & Fitness",7
205,"Osteopathic Physicians ","Health & Fitness",7
206,"Pain Management Physicians","Health & Fitness",7
207,"Pediatric Dentists ","Health & Fitness",7
208,"Pediatricians ","Health & Fitness",7
209,"Periodontists ","Health & Fitness",7
210,"Personal Trainers","Health & Fitness",7
211,"Pharmacies","Health & Fitness",7
212,"Physical Therapy ","Health & Fitness",7
213,"Pilates","Health & Fitness",7
214,"Podiatrists ","Health & Fitness",7
215,"Proctologists ","Health & Fitness",7
216,"Psychiatrists ","Health & Fitness",7
217,"Racquetball Clubs","Health & Fitness",7
218,"Recreation Centers","Health & Fitness",7
219,"Retirement Homes ","Health & Fitness",7
220,"Rock Climbing","Health & Fitness",7
221,"Skiing","Health & Fitness",7
222,"Sports Medicine ","Health & Fitness",7
223,"Tennis","Health & Fitness",7
224,"Urgent Care ","Health & Fitness",7
225,"Weight Loss Centers ","Health & Fitness",7
226,"Yoga","Health & Fitness",7
228,"Agricultural Services","Home Services ",8
229,"Appliance Repair & Supplies","Home Services ",8
230,"Building Supplies ","Home Services ",8
231,"Cable & Satellite Equipment & Services","Home Services ",8
232,"Carpet Cleaning ","Home Services ",8
233,"Carpeting ","Home Services ",8
234,"Chimney Sweep","Home Services ",8
235,"Cleaning Services & Supplies","Home Services ",8
236,"Contractors ","Home Services ",8
237,"Custom Home Builders","Home Services ",8
238,"Electricians ","Home Services ",8
239,"Fire Protection","Home Services ",8
240,"Fireplaces","Home Services ",8
241,"Garage Doors","Home Services ",8
242,"Gardeners ","Home Services ",8
243,"Gutter Cleaning Services","Home Services ",8
244,"Handyman Services","Home Services ",8
245,"Heating, Ventilation & Air Conditioning","Home Services ",8
246,"Home Cleaning ","Home Services ",8
247,"Home Inspectors ","Home Services ",8
248,"Home Repair","Home Services ",8
249,"Home Theatre Installation ","Home Services ",8
250,"Interior Designers & Decorators","Home Services ",8
251,"Keys & Locksmiths ","Home Services ",8
252,"Landscape Architects ","Home Services ",8
253,"Landscaping ","Home Services ",8
254,"Lawn Care Services","Home Services ",8
255,"Movers ","Home Services ",8
256,"Painters ","Home Services ",8
257,"Pest & Animal Control","Home Services ",8
258,"Plumbing ","Home Services ",8
259,"Pool Cleaners ","Home Services ",8
260,"Roofing ","Home Services ",8
261,"Security Systems ","Home Services ",8
262,"Snow Removal Services","Home Services ",8
263,"Solar Installation ","Home Services ",8
264,"Sprinklers & Irrigation","Home Services ",8
265,"Swimming Pool Equipment & Supplies","Home Services ",8
266,"Tree Services ","Home Services ",8
267,"Utilities - Gas, Water & Electric","Home Services ",8
268,"Vacuum Cleaners","Home Services ",8
269,"Waste Management Services","Home Services ",8
270,"Water Heaters","Home Services ",8
271,"Window Installation ","Home Services ",8
272,"Window Washing ","Home Services ",8
274,"Adoption Services","Legal Services",9
275,"Bail Bonds","Legal Services",9
276,"Business & Corporate Lawyers","Legal Services",9
277,"Criminal Lawyers","Legal Services",9
278,"Divorce and Family Law ","Legal Services",9
279,"Driving & Traffic Law","Legal Services",9
280,"Family Law Attorney","Legal Services",9
281,"Financial & Bankruptcy","Legal Services",9
282,"General Litigation Lawyers","Legal Services",9
283,"Governmental Law","Legal Services",9
284,"Juvenile Lawyers","Legal Services",9
285,"Labor & Employment Lawyers","Legal Services",9
286,"Malpractice Lawyers","Legal Services",9
287,"Patent, Trademark & Copyright Lawyers","Legal Services",9
288,"Personal Injury Lawyers","Legal Services",9
289,"Real Estate Lawyers","Legal Services",9
290,"Wills & Estate Planning","Legal Services",9
292,"Bars","Nightlife",10
293,"Champagne Bars ","Nightlife",10
294,"Cigar Bars","Nightlife",10
295,"Cocktail Bars","Nightlife",10
296,"Comedy Clubs ","Nightlife",10
297,"Dance Clubs ","Nightlife",10
298,"Dive Bars ","Nightlife",10
299,"Gay Bars ","Nightlife",10
300,"Hookah Bars ","Nightlife",10
301,"Irish Pubs","Nightlife",10
302,"Jazz & Blues Clubs","Nightlife",10
303,"Karaoke ","Nightlife",10
304,"Lounges ","Nightlife",10
305,"Music Venues ","Nightlife",10
306,"Night Clubs","Nightlife",10
307,"Piano Bars","Nightlife",10
308,"Pool Halls ","Nightlife",10
309,"Pubs ","Nightlife",10
310,"Social Clubs ","Nightlife",10
311,"Sports Bars ","Nightlife",10
312,"Wine Bars ","Nightlife",10
314,"Animal Hospitals","Pets",11
315,"Animal Shelters","Pets",11
316,"Breeders","Pets",11
317,"Dog Walkers ","Pets",11
318,"Horse Services & Equipment","Pets",11
319,"Pet Boarding/Pet Sitting ","Pets",11
320,"Pet Groomers ","Pets",11
321,"Pet Stores ","Pets",11
322,"Pet Training ","Pets",11
323,"Veterinarians ","Pets",11
325,"Accountants ","Professional Services",12
326,"Advertising","Professional Services",12
327,"Appraisers","Professional Services",12
328,"Architects","Professional Services",12
329,"Career Counseling ","Professional Services",12
330,"Caretakers","Professional Services",12
331,"Catering & Bartending Services","Professional Services",12
332,"Charity","Professional Services",12
333,"Child Day Care ","Professional Services",12
334,"Construction Companies","Professional Services",12
335,"Consultants","Professional Services",12
336,"Copy Shops","Professional Services",12
337,"Courier & Delivery Services","Professional Services",12
338,"Dating Services","Professional Services",12
339,"Demolition Companies","Professional Services",12
340,"Diaper Services","Professional Services",12
341,"DJs ","Professional Services",12
342,"Dry Cleaning & Laundry ","Professional Services",12
343,"Electronics Repair ","Professional Services",12
344,"Employment Agencies","Professional Services",12
345,"Engineers","Professional Services",12
346,"Equipment Rental","Professional Services",12
347,"Equipment Repair","Professional Services",12
348,"Event Planner","Professional Services",12
349,"Family Counselors","Professional Services",12
350,"Fashion Design","Professional Services",12
351,"Florists","Professional Services",12
352,"Freight Services","Professional Services",12
353,"Funeral Services & Cemeteries ","Professional Services",12
354,"Furniture Reupholstery ","Professional Services",12
355,"Genealogists","Professional Services",12
356,"General Contractors","Professional Services",12
357,"Graphic Design","Professional Services",12
358,"Internet Services Providers ","Professional Services",12
359,"Investigation Services","Professional Services",12
360,"IT Services & Computer Repair ","Professional Services",12
361,"Junk Removal and Hauling ","Professional Services",12
362,"Life Coaches","Professional Services",12
363,"Marketing","Professional Services",12
364,"Modeling","Professional Services",12
365,"Music Production","Professional Services",12
366,"Non-Profit Organizations","Professional Services",12
367,"Notaries ","Professional Services",12
368,"Party & Event Planning ","Professional Services",12
369,"Personal Chefs ","Professional Services",12
370,"Personal Shopping ","Professional Services",12
371,"Photographers","Professional Services",12
372,"Portrait Studios","Professional Services",12
373,"Printing & Copying Equipment & Services","Professional Services",12
374,"Public & Social Services","Professional Services",12
375,"Publishers","Professional Services",12
376,"Recording & Rehearsal Studios ","Professional Services",12
377,"Recruiters","Professional Services",12
378,"Recycling Centers ","Professional Services",12
379,"Screen Printing & Embroidery","Professional Services",12
380,"Secretarial Services","Professional Services",12
381,"Security Guards","Professional Services",12
382,"Self Storage ","Professional Services",12
383,"Sewing & Alterations ","Professional Services",12
384,"Shipping Centers & Mail Services","Professional Services",12
385,"Shoe Repair ","Professional Services",12
386,"Singing Telegrams","Professional Services",12
387,"Taxidermy","Professional Services",12
388,"Ticket Sales","Professional Services",12
389,"Video & Film Production","Professional Services",12
390,"Volunteer Organizations","Professional Services",12
391,"Watch Repair ","Professional Services",12
392,"Website Design","Professional Services",12
393,"Wedding Planning ","Professional Services",12
394,"Writing Services","Professional Services",12
396,"Departments of Motor Vehicles ","Public Services & Government",13
397,"Government Services","Public Services & Government",13
398,"Landmarks & Historical Buildings ","Public Services & Government",13
399,"Libraries ","Public Services & Government",13
400,"Police Departments ","Public Services & Government",13
401,"Post Offices ","Public Services & Government",13
403,"Apartments ","Real Estate",14
404,"Appraisers","Real Estate",14
405,"Condominiums","Real Estate",14
406,"Facilities & Warehouses","Real Estate",14
407,"Home Staging ","Real Estate",14
408,"Housing Assistance & Shelters","Real Estate",14
409,"Mobile Home Dealers","Real Estate",14
410,"Mobile Home Parks","Real Estate",14
411,"Moving Services","Real Estate",14
412,"Portable Buildings","Real Estate",14
413,"Property Management ","Real Estate",14
414,"Real Estate Agents ","Real Estate",14
415,"Real Estate Appraisers","Real Estate",14
416,"Real Estate Services ","Real Estate",14
417,"Retirement Communities","Real Estate",14
418,"Title Companies","Real Estate",14
419,"Truck Rental","Real Estate",14
420,"University Housing ","Real Estate",14
422,"Anglican Churches","Religious Organizations",15
423,"Baptist Churches","Religious Organizations",15
424,"Buddhist Temples ","Religious Organizations",15
425,"Catholic Churches","Religious Organizations",15
426,"Christian Churchless","Religious Organizations",15
427,"Church of Jesus Christ of Latter-day Saints","Religious Organizations",15
428,"Evangelical Churches","Religious Organizations",15
429,"Hindu Temples ","Religious Organizations",15
430,"Hispanic Churches","Religious Organizations",15
431,"Jehovah's Witness Churches","Religious Organizations",15
432,"Korean Churches","Religious Organizations",15
433,"Lutheran Churches","Religious Organizations",15
434,"Methodist Churches","Religious Organizations",15
435,"Missions","Religious Organizations",15
436,"Monasteries","Religious Organizations",15
437,"Mosques ","Religious Organizations",15
438,"Non-Denominational Churches","Religious Organizations",15
439,"Orthodox Churches","Religious Organizations",15
440,"Pentecostal Churches","Religious Organizations",15
441,"Presbyterian Churches","Religious Organizations",15
442,"Protestant Churches","Religious Organizations",15
443,"Reformed Churches","Religious Organizations",15
444,"Seventh-day Adventist Churches","Religious Organizations",15
445,"Synagogues ","Religious Organizations",15
446,"Temples","Religious Organizations",15
447,"Unitarian Churches","Religious Organizations",15
449,"Afghan ","Restaurants",16
450,"African ","Restaurants",16
451,"American ","Restaurants",16
452,"Andouille","Restaurants",16
453,"Argentine ","Restaurants",16
454,"Armenian","Restaurants",16
455,"Asian Fusion ","Restaurants",16
456,"Barbeque ","Restaurants",16
457,"Basque ","Restaurants",16
458,"Belgian ","Restaurants",16
